Date,Value
2006-12-29,1.542
2006-12-28,1.582
2006-12-27,1.588
2006-12-26,1.572
2006-12-22,1.623
2006-12-21,1.642
2006-12-20,1.676
2006-12-19,1.701
2006-12-18,1.662
2006-12-15,1.686
2006-12-14,1.665
2006-12-13,1.617
2006-12-12,1.595
2006-12-11,1.599
2006-12-08,1.621
2006-12-07,1.628
2006-12-06,1.621
2006-12-05,1.636
2006-12-04,1.667
2006-12-01,1.686
2006-11-30,1.819
2006-11-29,1.671
2006-11-28,1.627
2006-11-27,1.594
2006-11-22,1.589
2006-11-21,1.633
2006-11-20,1.554
2006-11-17,1.541
2006-11-16,1.53
2006-11-15,1.582
2006-11-14,1.545
2006-11-13,1.537
2006-11-10,1.563
2006-11-09,1.601
2006-11-08,1.564
2006-11-07,1.524
2006-11-06,1.529
2006-11-03,1.507
2006-11-02,1.453
2006-11-01,1.463
2006-10-31,1.465
2006-10-30,1.456
2006-10-27,1.56
2006-10-26,1.564
2006-10-25,1.592
2006-10-24,1.538
2006-10-23,1.472
2006-10-20,1.467
2006-10-19,1.489
2006-10-18,1.47
2006-10-17,1.463
2006-10-16,1.492
2006-10-13,1.468
2006-10-12,1.451
2006-10-11,1.45
2006-10-10,1.467
2006-10-09,1.495
2006-10-06,1.504
2006-10-05,1.517
2006-10-04,1.498
2006-10-03,1.457
2006-10-02,1.509
2006-09-29,1.549
2006-09-28,1.501
2006-09-27,1.54
2006-09-26,1.492
2006-09-25,1.5
2006-09-22,1.471
2006-09-21,1.499
2006-09-20,1.467
2006-09-19,1.504
2006-09-18,1.58
2006-09-15,1.575
2006-09-14,1.552
2006-09-13,1.553
2006-09-12,1.552
2006-09-11,1.595
2006-09-08,1.609
2006-09-07,1.642
2006-09-06,1.64
2006-09-05,1.647
2006-09-01,1.734
2006-08-31,1.75
2006-08-30,1.802
2006-08-29,1.789
2006-08-28,1.783
2006-08-25,1.895
2006-08-24,1.862
2006-08-23,1.859
2006-08-22,1.939
2006-08-21,1.937
2006-08-18,1.967
2006-08-17,1.932
2006-08-16,1.978
2006-08-15,1.992
2006-08-14,1.991
2006-08-11,2.064
2006-08-10,1.989
2006-08-09,2.172
2006-08-08,2.226
2006-08-07,2.252
2006-08-04,2.232
2006-08-03,2.293
2006-08-02,2.338
2006-08-01,2.276
2006-07-31,2.229
2006-07-28,2.234
2006-07-27,2.296
2006-07-26,2.296
2006-07-25,2.285
2006-07-24,2.314
2006-07-21,2.289
2006-07-20,2.248
2006-07-19,2.23
2006-07-18,2.267
2006-07-17,2.285
2006-07-14,2.325
2006-07-13,2.301
2006-07-12,2.256
2006-07-11,2.193
2006-07-10,2.175
2006-07-07,2.239
2006-07-06,2.259
2006-07-05,2.276
2006-06-30,2.202
2006-06-29,2.295
2006-06-28,2.206
2006-06-27,2.199
2006-06-26,2.179
2006-06-23,2.128
2006-06-22,2.118
2006-06-21,2.066
2006-06-20,2.006
2006-06-19,1.991
2006-06-16,2.038
2006-06-15,2.04
2006-06-14,2.036
2006-06-13,2.052
2006-06-12,2.124
2006-06-09,2.153
2006-06-08,2.102
2006-06-07,2.124
2006-06-06,2.179
2006-06-05,2.164
2006-06-02,2.198
2006-06-01,2.127
2006-05-31,2.141
2006-05-30,2.15
2006-05-26,2.137
2006-05-25,2.104
2006-05-24,2.019
2006-05-23,2.108
2006-05-22,2.057
2006-05-19,2.038
2006-05-18,2.015
2006-05-17,1.975
2006-05-16,2.026
2006-05-15,2.054
2006-05-12,2.179
2006-05-11,2.22
2006-05-10,2.169
2006-05-09,2.047
2006-05-08,2.004
2006-05-05,2.041
2006-05-04,1.995
2006-05-03,2.086
2006-05-02,2.175
2006-05-01,2.147
2006-04-28,2.092
2006-04-27,2.072
2006-04-26,2.134
2006-04-25,2.129
2006-04-24,2.174
2006-04-21,2.238
2006-04-20,2.215
2006-04-19,2.239
2006-04-18,2.224
2006-04-17,2.17
2006-04-13,2.108
2006-04-12,2.091
2006-04-11,2.054
2006-04-10,2.009
2006-04-07,1.977
2006-04-06,2
2006-04-05,1.947
2006-04-04,1.896
2006-04-03,1.863
2006-03-31,1.946
2006-03-30,1.996
2006-03-29,1.954
2006-03-28,1.885
2006-03-27,1.829
2006-03-24,1.823
2006-03-23,1.816
2006-03-22,1.737
2006-03-21,1.84
2006-03-20,1.83
2006-03-17,1.86
2006-03-16,1.874
2006-03-15,1.829
2006-03-14,1.866
2006-03-13,1.743
2006-03-10,1.688
2006-03-09,1.72
2006-03-08,1.65
2006-03-07,1.633
2006-03-06,1.656
2006-03-03,1.743
2006-03-02,1.693
2006-03-01,1.622
2006-02-28,1.556
2006-02-27,1.525
2006-02-24,1.551
2006-02-23,1.513
2006-02-22,1.475
2006-02-21,1.476
2006-02-17,1.503
2006-02-16,1.412
2006-02-15,1.385
2006-02-14,1.385
2006-02-13,1.431
2006-02-10,1.462
2006-02-09,1.514
2006-02-08,1.548
2006-02-07,1.594
2006-02-06,1.644
2006-02-03,1.682
2006-02-02,1.666
2006-02-01,1.729
2006-01-31,1.726
2006-01-30,1.775
2006-01-27,1.736
2006-01-26,1.684
2006-01-25,1.665
2006-01-24,1.744
2006-01-23,1.793
2006-01-20,1.817
2006-01-19,1.776
2006-01-18,1.773
2006-01-17,1.823
2006-01-13,1.731
2006-01-12,1.719
2006-01-11,1.733
2006-01-10,1.737
2006-01-09,1.768
2006-01-06,1.816
2006-01-05,1.787
2006-01-04,1.785
2006-01-03,1.751
2005-12-30,1.71
2005-12-29,1.652
2005-12-28,1.591
2005-12-27,1.513
2005-12-23,1.551
2005-12-22,1.541
2005-12-21,1.536
2005-12-20,1.509
2005-12-19,1.527
2005-12-16,1.569
2005-12-15,1.617
2005-12-14,1.641
2005-12-13,1.646
2005-12-12,1.647
2005-12-09,1.605
2005-12-08,1.627
2005-12-07,1.568
2005-12-06,1.584
2005-12-05,1.59
2005-12-02,1.611
2005-12-01,1.563
2005-11-30,1.425
2005-11-29,1.395
2005-11-28,1.418
2005-11-23,1.458
2005-11-22,1.488
2005-11-21,1.457
2005-11-18,1.462
2005-11-17,1.46
2005-11-16,1.483
2005-11-15,1.456
2005-11-14,1.496
2005-11-11,1.485
2005-11-10,1.507
2005-11-09,1.551
2005-11-08,1.562
2005-11-07,1.556
2005-11-04,1.608
2005-11-03,1.627
2005-11-02,1.569
2005-11-01,1.604
2005-10-31,1.526
2005-10-28,1.624
2005-10-27,1.593
2005-10-26,1.585
2005-10-25,1.654
2005-10-24,1.582
2005-10-21,1.64
2005-10-20,1.613
2005-10-19,1.676
2005-10-18,1.735
2005-10-17,1.815
2005-10-14,1.749
2005-10-13,1.758
2005-10-12,1.828
2005-10-11,1.833
2005-10-10,1.801
2005-10-07,1.829
2005-10-06,1.841
2005-10-05,1.908
2005-10-04,2.016
2005-10-03,2.062
2005-09-30,2.138
2005-09-29,2.252
2005-09-28,2.339
2005-09-27,2.166
2005-09-26,2.129
2005-09-23,2.086
2005-09-22,2.139
2005-09-21,2.053
2005-09-20,1.977
2005-09-19,2.043
2005-09-16,1.785
2005-09-15,1.899
2005-09-14,1.937
2005-09-13,1.892
2005-09-12,1.874
2005-09-09,1.96
2005-09-08,2.036
2005-09-07,2.022
2005-09-06,2.055
2005-09-02,2.184
2005-09-01,2.409
2005-08-31,2.615
2005-08-30,2.475
2005-08-29,2.061
2005-08-26,1.927
2005-08-25,1.964
2005-08-24,1.926
2005-08-23,1.858
2005-08-22,1.862
2005-08-19,1.904
2005-08-18,1.863
2005-08-17,1.891
2005-08-16,1.984
2005-08-15,1.962
2005-08-12,2.005
2005-08-11,1.95
2005-08-10,1.896
2005-08-09,1.822
2005-08-08,1.857
2005-08-05,1.832
2005-08-04,1.802
2005-08-03,1.771
2005-08-02,1.782
2005-08-01,1.747
2005-07-29,1.739
2005-07-28,1.722
2005-07-27,1.716
2005-07-26,1.696
2005-07-25,1.706
2005-07-22,1.728
2005-07-21,1.681
2005-07-20,1.676
2005-07-19,1.674
2005-07-18,1.647
2005-07-15,1.688
2005-07-14,1.694
2005-07-13,1.754
2005-07-12,1.775
2005-07-11,1.732
2005-07-08,1.763
2005-07-07,1.806
2005-07-06,1.79
2005-07-05,1.682
2005-07-01,1.649
2005-06-30,1.572
2005-06-29,1.585
2005-06-28,1.625
2005-06-27,1.675
2005-06-24,1.656
2005-06-23,1.657
2005-06-22,1.613
2005-06-21,1.627
2005-06-20,1.646
2005-06-17,1.647
2005-06-16,1.598
2005-06-15,1.563
2005-06-14,1.541
2005-06-13,1.554
2005-06-10,1.544
2005-06-09,1.571
2005-06-08,1.498
2005-06-07,1.516
2005-06-06,1.53
2005-06-03,1.557
2005-06-02,1.515
2005-06-01,1.544
