Hedge Ratio,Mean,Max,Min,StdDev
0,0,0,0,0
0.05,-4.26E-05,-3.58E-05,-5.02E-05,2.33E-06
0.1,-8.26E-05,-6.96E-05,-9.86E-05,4.67E-06
0.15,-0.000120333,-9.86E-05,-0.000150996,6.97E-06
0.2,-0.000155689,-0.00012694,-0.000185993,8.96E-06
0.25,-0.000188706,-0.000153437,-0.000227672,1.09E-05
0.3,-0.000219527,-0.000182714,-0.0002695,1.25E-05
0.35,-0.000247874,-0.00019705,-0.000294652,1.45E-05
0.4,-0.000275025,-0.000229312,-0.000348558,1.63E-05
0.45,-0.000298051,-0.000239098,-0.000362483,1.77E-05
0.5,-0.000318117,-0.000256201,-0.000384091,1.90E-05
0.55,-0.000337455,-0.000280356,-0.000417405,2.02E-05
0.6,-0.000353854,-0.000280629,-0.00042314,2.19E-05
0.65,-0.000367884,-0.000305602,-0.000442941,2.16E-05
0.7,-0.000379846,-0.0003043,-0.000454978,2.36E-05
0.75,-0.000389691,-0.000304076,-0.000464184,2.41E-05
0.8,-0.000396586,-0.000316405,-0.000494542,2.63E-05
0.85,-0.000400699,-0.000310349,-0.000501232,2.64E-05
0.9,-0.000403836,-0.000315185,-0.000494113,2.77E-05
0.95,-0.000402937,-0.00031022,-0.000496825,2.76E-05
1,-0.000401238,-0.000295376,-0.000527396,2.96E-05
