Hedge Ratio,Mean,Max,Min,StdDev
0,0,0,0,0
0.05,-3.85E-05,-2.78E-05,-5.02E-05,3.16E-06
0.1,-7.45E-05,-5.41E-05,-0.000103058,6.21E-06
0.15,-0.000108322,-7.56E-05,-0.000155441,9.42E-06
0.2,-0.0001399,-0.000103692,-0.000185339,1.19E-05
0.25,-0.000168066,-0.000113557,-0.000218437,1.51E-05
0.3,-0.000195148,-0.000114571,-0.000245783,1.76E-05
0.35,-0.000218652,-0.000145972,-0.00028597,2.03E-05
0.4,-0.000241385,-0.000136364,-0.000304976,2.34E-05
0.45,-0.000259921,-0.000169255,-0.000341583,2.61E-05
0.5,-0.000277485,-0.000167079,-0.000369534,2.83E-05
0.55,-0.000291753,-0.000178684,-0.000380048,3.06E-05
0.6,-0.000305895,-0.000128832,-0.000424379,3.52E-05
0.65,-0.00031516,-0.000163148,-0.000430471,3.64E-05
0.7,-0.000322683,-0.000167134,-0.000445121,3.95E-05
0.75,-0.00032854,-0.000164583,-0.000465683,4.18E-05
0.8,-0.00032982,-7.39E-05,-0.000466977,4.43E-05
0.85,-0.000331552,-0.000159527,-0.000468097,4.79E-05
0.9,-0.000329331,-9.57E-05,-0.000456181,5.14E-05
0.95,-0.000325292,-5.81E-05,-0.000458926,5.42E-05
1,-0.000317782,-8.21E-05,-0.000479775,5.61E-05
