symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"BJN10","2010-06-18T00:00:00-05:00","2010-06-18","1.452","1.452","1.452","1.452","0","0"
"BJN10","2010-06-21T00:00:00-05:00","2010-06-21","1.452","1.452","1.452","1.452","0","0"
"BJN10","2010-06-22T00:00:00-05:00","2010-06-22","1.423","1.423","1.423","1.423","42","38"
"BJN10","2010-06-23T00:00:00-05:00","2010-06-23","1.423","1.423","1.42","1.423","2","38"
"BJN10","2010-06-24T00:00:00-05:00","2010-06-24","1.423","1.423","1.423","1.423","19","57"
"BJN10","2010-06-25T00:00:00-05:00","2010-06-25","1.423","1.423","1.423","1.423","20","77"
"BJN10","2010-06-28T00:00:00-05:00","2010-06-28","1.423","1.427","1.423","1.423","5","81"
"BJN10","2010-06-29T00:00:00-05:00","2010-06-29","1.423","1.429","1.423","1.423","22","91"
"BJN10","2010-06-30T00:00:00-05:00","2010-06-30","1.43","1.431","1.43","1.43","7","87"
"BJN10","2010-07-01T00:00:00-05:00","2010-07-01","1.43","1.43","1.43","1.43","10","92"
"BJN10","2010-07-02T00:00:00-05:00","2010-07-02","1.43","1.43","1.43","1.43","2","94"
"BJN10","2010-07-06T00:00:00-05:00","2010-07-06","1.43","1.43","1.43","1.43","10","93"
"BJN10","2010-07-07T00:00:00-05:00","2010-07-07","1.43","1.43","1.43","1.43","15","87"
"BJN10","2010-07-08T00:00:00-05:00","2010-07-08","1.432","1.436","1.432","1.432","12","90"
"BJN10","2010-07-09T00:00:00-05:00","2010-07-09","1.432","1.433","1.432","1.432","25","115"
"BJN10","2010-07-12T00:00:00-05:00","2010-07-12","1.455","1.458","1.445","1.455","5","116"
"BJN10","2010-07-13T00:00:00-05:00","2010-07-13","1.456","1.456","1.456","1.456","0","116"
"BJN10","2010-07-14T00:00:00-05:00","2010-07-14","1.456","1.456","1.456","1.456","2","117"
"BJN10","2010-07-15T00:00:00-05:00","2010-07-15","1.456","1.457","1.456","1.456","7","124"
"BJN10","2010-07-16T00:00:00-05:00","2010-07-16","1.456","1.456","1.456","1.456","10","129"
"BJN10","2010-07-19T00:00:00-05:00","2010-07-19","1.456","1.456","1.456","1.456","0","129"
"BJN10","2010-07-20T00:00:00-05:00","2010-07-20","1.456","1.456","1.456","1.456","4","133"
