symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"DAJ96","1996-01-11T00:00:00-06:00","1996-01-11","12.15","12.25","12.05","12.18","0","0"
"DAJ96","1996-01-12T00:00:00-06:00","1996-01-12","12.18","12.28","12.1","12.18","0","0"
"DAJ96","1996-01-15T00:00:00-06:00","1996-01-15","12.15","12.23","12.15","12.2","0","0"
"DAJ96","1996-01-16T00:00:00-06:00","1996-01-16","12.2","12.3","12.18","12.23","0","0"
"DAJ96","1996-01-17T00:00:00-06:00","1996-01-17","12.22","12.25","12.2","12.2","0","0"
"DAJ96","1996-01-18T00:00:00-06:00","1996-01-18","12.18","12.35","12.18","12.33","0","0"
"DAJ96","1996-01-19T00:00:00-06:00","1996-01-19","12.23","12.3","12.23","12.3","0","0"
"DAJ96","1996-01-22T00:00:00-06:00","1996-01-22","12.25","12.3","12.23","12.28","0","0"
"DAJ96","1996-01-23T00:00:00-06:00","1996-01-23","12.28","12.3","12.25","12.25","0","0"
"DAJ96","1996-01-24T00:00:00-06:00","1996-01-24","12.25","12.3","12.25","12.3","0","0"
"DAJ96","1996-01-25T00:00:00-06:00","1996-01-25","12.25","12.28","12.23","12.23","0","0"
"DAJ96","1996-01-26T00:00:00-06:00","1996-01-26","12.23","12.3","12.05","12.05","0","0"
"DAJ96","1996-01-29T00:00:00-06:00","1996-01-29","12","12.08","12","12.08","0","0"
"DAJ96","1996-01-30T00:00:00-06:00","1996-01-30","12.08","12.1","12.05","12.08","0","0"
"DAJ96","1996-01-31T00:00:00-06:00","1996-01-31","12.13","12.15","12","12","0","0"
"DAJ96","1996-02-01T00:00:00-06:00","1996-02-01","12.05","12.08","11.95","11.95","0","0"
"DAJ96","1996-02-02T00:00:00-06:00","1996-02-02","12","12.03","12","12","0","0"
"DAJ96","1996-02-05T00:00:00-06:00","1996-02-05","12.15","12.15","12.15","12.15","0","0"
"DAJ96","1996-02-06T00:00:00-06:00","1996-02-06","12.13","12.15","12.1","12.15","0","0"
"DAJ96","1996-02-07T00:00:00-06:00","1996-02-07","12.2","12.2","12.1","12.2","0","0"
"DAJ96","1996-02-08T00:00:00-06:00","1996-02-08","12.18","12.33","12.15","12.28","0","0"
"DAJ96","1996-02-09T00:00:00-06:00","1996-02-09","12.25","12.33","12.25","12.3","0","0"
"DAJ96","1996-02-12T00:00:00-06:00","1996-02-12","12.3","12.4","12.3","12.33","0","0"
